ID, Rinkname, Phone, Email, Website, LineOne, LineTwo, City, State, Zip, Description
431,Roller World Skate Center,918-343-3866,,,950 West 4th Street,,Claremore,OK,74018,OK061
432,Rollerama,661-327-7580,kevin@rollerama.com,http://www.rollerama.com,1004 34th Street,,Bakersfield,CA,93301,CA026
433,Rollerama,712-276-4485,,,4500 Stone Avenue,,Sioux City,IA,51106,IA004
434,Rollerama II,810-227-2010,bdkoziara@bonaventureskate.com,http://www.rollerama2.com,6995 West Grand River Avenue,,Brighton,MI,48114,MI040
435,Rollerama Junction,325-446-9181,rollerama@yahoo.com,,127 N 16th St,,Junction,TX,76849,TX271
436,Rollerama West,661-589-7555,info@rollerama.com,http://www.rollerama.com,7850 Brimhall Road,,Bakersfield,CA,93308,CA237
437,Rollercade Sktg. Ctr.,314-842-3845,rollercade24@aol.com,http://www.rollercadeskating.com,11703 Baptist Church Road,,St Louis,MO,63128,MO024
438,RollerDen 2000,563-259-1613,smussman@dybb.com,,103 21st Street,,Camanche,IA,52730,IA075
439,Rollerdome Inc.,804-726-2841,rollerdomeskating@yahoo.com,http://www.myspace.com/rollerdomeskating,4902 Williamsburg Road,,Richmond,VA,23231,VA098
440,Rollerdrome Inc.,208-466-9905,namparollerdrome@yahoo.com,http://www.namparollerdrome.net,19 10th Avenue South,,Nampa,ID,83651,ID002
441,Rollerland,,,,3502 Neuse Boulevard,,New Bern,NC,28560,NC022
442,Rollerland Inc.,405-390-1300,,,1621 South Choctaw Road,,Choctaw,OK,73020,OK079
443,Rollerland West,817-244-8290,rollerlandwest@aol.com,http://www.myrollerland.com,7325 Calmont,,Fort Worth,TX,76116,TX126
444,RollerMotion,610-398-0704,carolschaeffer@verizon.net,http://www.rollermotion.com,1609 Trexlertown Rd,,Macungie,PA,18062,PA065
445,Rollero Family Skating Center,623-846-1510,,http://www.rollero.com,7318 West Indian School Road,,Phoenix,AZ,85033,AZ040
446,Rollers,620-342-3322,terry@audiolite.com,,701 Graham,,Emporia,KS,66801,KS018
447,Rollerscape,931-461-1074,rollerscape@yahoo.com,http://www.rollerscape.net,200 Ledford Mill Road,,Tullahoma,TN,37388,TN086
448,Rollerworks Family Skating Center,,rollerworksfsc@aol.com,,12099 Marsh Rd,,Bealeton,VA,22712,VA089
449,Rollerworld,011-441-2068,andystarr@rollerworld.fsnet.co.uk,http://www.rollerworld.co.uk,Eastgates, Colchester, UK,GB,C01 2TJ,GB001
450,Rollerworld,269-375-4609,rsa@rollerworld.net,http://www.rollerworld.info,7491 Stadium Drive,,Kalamazoo,MI,49009,MI031
451,Rollerworld Northeast,817-485-8222,rollerworld@sbcglobal.net,http://www.rollerworldne.com,5817 Denton Highway,,Fort Worth,TX,76148-3758,TX177
452,Rollhaven Skating Center,810-694-4533,rollhaven@aol.com,http://www.rollhaven.com,5315 South Saginaw Road,,Flint,MI,48507-4426,MI010
453,Rollhaven Skating Center-Flushing,810-659-7260,rollhaven@aol.com,http://www.rollhaven.com,3464 Ann Drive,,Flushing,MI,48433,MI047
454,Rollhaven Skating Center-Owosso,989-725-9850,rollhaven@aol.com,http://www.rollhaven.com,119 North Delaney Road,,Owosso,MI,48867,MI064
455,Rolling Thunder Skating & Family Fun Center,,rollnthundersk8@aol.com,,2225 Keith Parkway,,Findlay,OH,45840,OH196
456,Rollodrome,207-777-3940,,http://http://rollodrome.com/index.html,12 Riverside Drive,,Auburn,ME,4210,ME022
457,Roll-O-Rama Skate Center LLC,,chipfish@grm.net,,919 Industrial Dr,,Trenton,MO,64683,MO128
458,Roll-R-King,,notavail@notavail.com,,1080 South Old Highway 52,,King,NC,27021,NC125
459,Rollway Roller Rink,609-561-8061,ritabags@aol.com,,131 South 2nd Road,,Hammonton,NJ,8037,NJ009
460,Romp N Roll,770-787-4386,,,3174 Salem Road,,Conyers,GA,30013,GA092
461,Romper's Romp 'N Roll,412-486-4117,rompnroll1@msn.com,http://www.rompnrollpgh.com,1661 East Sutter Road,,Glenshaw,PA,15116,PA159
462,Ron-A-Roll Inc,860-875-7094,ronarollskatectr@aol.com,http://www.ronaroll.com,85 South Frontage Road,,Vernon,CT,6066,CT045
463,Round-A-Bout Skating Center I,910-860-8900,bjohnson10@charter.net,http://www.round-a-bout.com,115 Skateway Drive,,Fayetteville,NC,28304,NC025
464,Round-A-Bout Skating Ctr II,910-484-4465,roundaboutinc@aol.com,http://www.round-a-bout.com,Eutaw Shopping Center,,Fayetteville,NC,28303,NC044
465,Round-A-Bout Skating Ctr III,919-778-1831,rabskating@aol.com,http://www.round-a-bout.com,1305 Parkway Drive,,Goldsboro,NC,27534-3469,NC033
466,Rowdy's Roller Rink,,busydee100@aol.com,,5101 Ballpark Road,,Vancleave,MS,39565,MS057
467,Royal Roller Rink,907-338-7968,sk8rtom@ptialaska.net,,6411 Debar Road,,Anchorage,AK,99504,AK003
468,Royal Skateland,734-326-2801,,,5201 Alter Road,,Detroit,MI,48224,MI086
469,Russell Roller Rink,814-757-5283,rsa@russellrollerrink.com,http://www.russellrollerrink.com,7385 Market St,,Russell,PA,16345,PA211
470,Saints N Family Rllr Skating,651-770-3849,info@saintsnorth.com,http://www.saintsnorth.com,1818 Gervais Court,,Maplewood,MN,55109,MN017
471,Sandusky Skate World,419-625-0212,bill@ghostlymanor.com,http://www.skateworldsandusky.com,3319 Milan Road,,Sandusky,OH,44870,OH122
472,Santa Cruz Roller Palladium,831-423-0844,,,1606 Seabright Avenue,,Santa Cruz,CA,95062,CA049
473,Scooter's Family Skating Center,856-983-3500,weschert@ec.rr.com,,471 Evesboro-Medford Road,,Marlton,NJ,8053,NJ079
474,Scooter's Roller Palace,905-823-4001,agmastro@aol.com,http://www.scooters.on.ca,2105 Royal Windsor Drive,,Mississauga Ontario,CN,L5J 1K5,CN084
475,Scotties Skateland,217-222-3868,skate@scottiesskateland.com,http://www.scottiesskateland.com,8000 Broadway,,Quincy,IL,62305,IL056
476,Seabrook Skating Center,301-577-8889,,,9901 Lanham Severn Road,,Seabrook,MD,20706,MD008
477,Searcy Thrills on Wheels,501-279-7170,,http://www.thrillsonwheels.net,3579 Highway 367 South,,Searcy,AR,72143,AR086
478,Semoran Skateway,407-834-9106,semoranskateway@cfl.rr.com,http://www.semoranskateway.com,2670 Cassel Creek Boulevard,,Casselberry,FL,32707,FL085
479,Silver Circle East Inc.,850-763-8551,dpsterrett@yahoo.com,,5413 Hickory Street,,Panama City,FL,32404,FL158
480,Silver City Skateland,508-824-4866,laristan@aol.com,http://www.silvercityskatelandrollerrink.com,One Lawton Avenue,,Taunton,MA,2780,MA043
481,Silver Star Skate Center,217-234-7555,,http://www.silverstarskatecenter.com,North Route 45,,Mattoon,IL,61938,IL151
482,Silver Wheels Inc,417-781-4033,billie2005@yahoo.com,,2800 East 24th,,Joplin,MO,64804,MO031
483,Silver Wings Ballroom,979-836-4836,jimbo@texasbb.com,http://www.silverwingsballroom.com,4100 Highway 105,,Brenham,TX,77833,TX043
484,SilverWings skating &pub,,,http://www.silverwingsskate.com,817 W Loop,,El Campo,TX,77437,TX145
485,Sistrunk's Funtime Roll-R-Bowl,601-298-9900,,,611 Allenwood Drive,,Carthage,MS,39051,MS053
486,Sk8 Galaxy,636-441-8353,,,5437 Westwood Drive,,Saint Charles,MO,63304,MO111
487,SK8 Shack Roller Rink,505-287-9394,paulabriseno@yahoo.com,,320 E. Stephens,,Grants,NM,87020,NM025
488,Sk8 Town LLC,281-292-2626,sk8town@sk8town.com,http://www.sk8town.com,846 Rayford Road,,Spring,TX,77386,TX353
489,Sk8 Zone LLC,,zone@embarqmail.com,http://www.sk8-zone.com,301 Flora Drive,,Jefferson City,MO,65101,MO017
490,Sk8away Inc.,785-272-0303,tina@sk8away.net,http://www.sk8away.net,815 Fairlawn,,Topeka,KS,66606,KS019
491,Skagit Skate,360-755-5001,gkenglund@msn.com,http://www.skagitskate.com,390 Cedar Street,,Burlington,WA,98233,WA064
492,Skate 17,843-427-4431,skate17sc@aol.com,,405 31st Ave South,,Atlantic Beach,SC,29582,SC069
493,Skate Along USA,,info@skatealongusa.com,http://www.skatealongusa.com,744 Beaver Ruin Rd,,Lilburn,GA,30047,GA049
494,Skate America,903-832-7572,edog@cableone.net,http://www.skateamericafuncenter.com,3706 New Boston Road,,Texarkana,TX,75501,TX213
495,Skate America,719-545-2222,lbishop431@aol.com,http://www.skatecitypueblo.com,615 Hunter Drive,,Pueblo,CO,81001,CO060
496,Skate America Rllr Skating Ctr,614-875-7606,eversmanent@aol.com,http://www.skateamericarink.com,4357 Broadway,,Grove City,OH,43123,OH155
497,Skate and Shake Inc.,386-672-8500,,,250 North Highway 1,,Ormond Beach,FL,32174,FL048
498,Skate Castle Inc,256-355-0561,japsk8@charter.net,http://www.skatecastle.net,401 14th Street SE,,Decatur,AL,35601,AL005
499,Skate Castle Inc.,724-287-3930,baglierb12@yahoo.com,,182 New Castle Road,,Butler,PA,16001,PA201
500,Skate Center,636-677-4641,,,2400 Gravois,,High Ridge,MO,63022,MO116
501,Skate Center of Brentwood,615-373-8611,vpsmail@aol.com,http://www.skatecenter.com,402 Wilson Pike Circle,,Brentwood,TN,37027,TN061
502,Skate Center of Smyrna,615-459-7655,smyskate@bellsouth.net,http://www.skatecenter.com,1505 Plaza Drive,,Smyrna,TN,37167,TN071
503,Skate Center-Florence,256-767-7655,lsaint@hiwaay.net,http://www.skatecenter.biz,241 Azalea Drive,,Florence,AL,35630,AL025
504,Skate City,386-788-4401,skatecity@att.net,http://www.skatecitydaytona.com,1790 South Nova Road,,Daytona Beach,FL,32119,FL217
505,Skate City,715-234-6070,letsgosk8n@aol.com,http://www.sk8city.com,2057 17 1/2 Avenue,,Rice Lake,WI,54868,WI070
506,Skate City Bellevue,402-291-0894,skatecitybellevue@gmail.com,http://www.skatecitybellevue.com,1220 South Fort Crook Road,,Bellevue,NE,68005,NE007
507,Skate City Inc,573-686-1500,,,1403 West Vine Street,,Poplar Bluff,MO,63901-4715,MO028
508,Skate City Incorporation,618-389-0725,parti65@aol.com,,2200 East Broadway,,East Saint Louis,IL,62205-1109,IL031
509,Skate City of Lake Charles,318-474-2855,,,4720 Nelson Road,,Lake Charles,LA,70605,LA056
510,Skate City- Overland Park,913-888-6668,lbishop431@aol.com,http://www.skatecitykansas.com,10440 Mastin,,Overland Park,KS,66212,KS044
511,Skate City QCA LLC,309-755-5219,fehrorthodontics@mchsi.com,http://www.skatecityqca.com,1140 Avenue of the Cities,,East Moline,IL,61244,IL011
512,Skate City Roller Ctr,707-468-8600,dgadams.sk8city@comcast.net,http://www.skatecityukiah.com,2146 South State Street,,Ukiah,CA,95482,CA148
513,Skate City -Wisconsin Rapids,715-423-4040,skcity@wctc.net,http://www.skatecityfamilyfun.com,2211 36th Street North,,Wisconsin Rapids,WI,54494,WI083
514,Skate Country,304-422-6600,kimberlykimes@yahoo.com,,6th Avenue & Gladstone,,Parkersburg,WV,26101,WV027
515,Skate Country,205-237-0001,,,1081 Alpine Way,,Pelham,AL,35124,AL003
516,Skate Country,563-556-4224,,,5630 Saratoga Road,,Dubuque,IA,52002-2598,IA012
517,Skate Country - Gainesville,770-532-3248,srmeans@bellsouth.net,http://www.skate-country.com,2276 Thompson Branch Road,,Gainesville,GA,30501,GA069
518,Skate Country East,520-298-0698,askskatecountry@aol.com,http://www.skatecountry.com,7980 East 22nd Street,,Tucson,AZ,85710,AZ007
519,Skate Country of Georgia,678-546-1547,srmeans@bellsouth.net,,2700 Buford Highway,,Buford,GA,30518,GA043
520,Skate Ctr of Rke Valley Inc,540-989-2000,skatecenter@aol.com,http://www.skateplay.com,4121 Brandon Avenue,,Roanoke,VA,24018,VA030
521,Skate Deck,425-337-0202,skate@everettskatedeck.com,http://www.everettskatedeck.com,9700 19th Avenue Southeast,,Everett,WA,98208,WA007
522,Skate Depot,562-924-1052,,,11113 E 183rd Street,,Cerritos,CA,90701,CA176
523,Skate Estate,231-937-7433,jcskate@charter.net,http://www.skateestateonline.com,19224 M-46,,Howard City,MI,49329,MI135
524,Skate Estate,607-797-9000,,http://www.skateestate.com,3401 Old Vestal Road,,Vestal,NY,13850-2157,NY137
525,Skate Express,909-465-1644,,,12356 Central Avenue,,Chino,CA,91710,CA185
526,Skate Express,920-206-0555,,http://www.skateexpress.com,N 9668 Frohling Lane,,Watertown,WI,53094,WI086
527,Skate Factory,850-785-2263,skatefactory@knology.net,http://www.skatefactory.com,333 West 14th Street,,Panama City,FL,32401,FL054
528,Skate Factory Inc,518-822-8453,factory@hotmail.com,http://www.skatefactory.net,1131 Route 9H,,Ghent,NY,12075,NY160
529,Skate Factory of Vero,772-794-3373,sk8vero@bellsouth.net,http://www.skatefactory.us,485 27th Avenue SW,,Vero Beach,FL,32968,FL111
530,Skate Fever,405-381-3875,,,5909 Aero Drive,,Tuttle,OK,73089,OK075
531,Skate Galaxy,770-504-9949,support@skategalaxygeorgia.com,http://www.skategalaxygeorgia.com,129 Stark Road,,Jackson,GA,30233,GA116
532,Skate Galaxy,269-279-2710,jmarciniak2001@msn.com,,57550 North Main Street,,Three Rivers,MI,49093-1334,MI060
533,Skate Galaxy,225-756-2424,dougf@redrockadventuresports.com,http://www.skategalaxy.com,12828 Jefferson Highway,,Baton Rouge,LA,70816,LA082
534,Skate Haven,919-765-1041,skatenorth@aol.com,,120 Hood Drive,,Winston Salem,NC,27104,NC021
535,Skate Haven,254-778-4141,,,814 North 31st Street,,Temple,TX,76501,TX359
536,Skate Island,308-382-8270,,,2310 North Webb Road,,Grand Island,NE,68803,NE003
537,Skate King,314-382-1166,,,2700 Kienlen Avenue,,St Louis,MO,63121,MO071
538,Skate King,425-641-2047,,http://www.bellevueskateking.homestead.com,2301 140th Avenue NE,,Bellevue,WA,98005,WA063
539,Skate Magic,903-885-2024,,,601 Airport Road,,Sulphur Springs,TX,75482,TX351
540,Skate Moore,405-794-4644,swskate1@gmail.com,http://www.skatemoore.com,527 NW 1st,,Moore,OK,73160,OK028
541,Skate North,515-251-7655,incrediroll@nexgenisp.com,http://www.skatewestskadium.com,5621 Meridith Drive,,Des Moines,IA,50310,IA015
542,Skate Odyssey,662-329-1881,tdaletaylor@msn.com,,830 Louisville Rd,,Starkville,MS,39759,MS054
543,Skate Odyssey Family Fun Center,812-288-5133,speedref32@insightbb.com,,1515 Lynch Lane,,Clarksville,IN,47129,IN031
544,Skate Odyssey of Horn Lake,662-253-0061,,http://http://hornlake.skateodyssey.com/,4560 Goodman Rd W,,Horn Lake,MS,38637,MS066
545,Skate Odyssey of Meridian,601-483-9654,tdaletaylor@msn.com,,3435 North Hills Street,,Meridian,MS,39305,MS055
546,Skate Odyssey of Olive Branch Inc,901-521-8195,taylor586@aol.com,http://www.skateodyssey.com,7417 Hacks Cross Road,,Olive Branch,MS,38654,MS046
547,Skate on Grand,847-587-2351,skateongrand@aol.com,http://www.skateongrandrollerrink.com,720 E Grand Ave,,Fox Lake,IL,60041,IL171
548,Skate Place,989-345-3024,mepiskor@yahoo.com,http://www.skateplace.us,1917 M-55-No Mailbox,,West Branch,MI,48661,MI126
549,Skate Plaza Family Entertainment Center,208-772-9507,john@skateplazacda.com,http://www.skateplazacda.com,5685 North Pioneer Drive,,Coeur d Alene,ID,83815,ID009
550,Skate Quest,314-838-9150,callaways@sbcglobal.net,,1080 North Walker,,Montgomery City,MO,63361,MO105
551,Skate Ranch,919-790-3808,,http://www.skateranchofraleigh.com,2901 Trawick Road,,Raleigh,NC,27604,NC017
552,Skate Ranch,936-634-4001,lstover@consolidated.net,,5012 Lotus Lane,,Lufkin,TX,75904,TX084
553,Skate Ranch Inc,517-278-8031,skateranch@sk8fun.com,http://www.sk8fun.com,278 North Angola Road,,Coldwater,MI,49036,MI094
554,Skate Reflections,407-846-8469,,http://www.skatereflections.com,1111 Dyer Boulevard,,Kissimmee,FL,34741,FL133
555,Skate Safari,903-455-3484,neel@hotmail.com,http://www.skatesafari.com,5002 Moulton St,,Greenville,TX,75401,TX918
556,Skate South,515-285-6037,the7muses@aol.com,http://www.skatesouth.com,10494 County Line Road,,Des Moines,IA,50320,IA069
557,Skate South,336-434-2554,shiatt@triad.rr.com,,208 West Fairfield Road,,High Point,NC,27263,NC051
558,Skate Station,216-225-9842,jaleeba@aol.com,http://www.skatestation.net,1261 North Industrial Park,,Brunswick,OH,44212,OH139
559,Skate Station,352-375-0003,pbgators@yahoo.com,http://www.skatestationfunwork.com,1311 NW 76th Boulevard,,Gainesville,FL,32606,FL136
560,Skate Station,904-272-5602,,http://www.skatestationfunworks.com,230 Blanding Boulevard,,Orange Park,FL,32073,FL112
561,Skate Station,904-880-7703,pbgators@yahoo.com,http://www.skatestationfunwork.com,3461 Kori Road,,Jacksonville,FL,32257,FL218
562,Skate Station,205-655-1800,philcarter@centurytel.net,http://www.trussvilleplaystation.com,411 Watterson Lane,,Trussville,AL,35173,AL007
563,Skate Station Co,815-232-7344,skate@aeroinc.net,http://www.skatestation.com,7016 US Route 20 West,,Lena,IL,61048,IL139
564,Skate Station of Sumter,803-481-7655,skatestationsc@yahoo.com,http://www.sumterskate.com,45 Old Manning Road,,Sumter,SC,29150,SC045
565,Skate Time 209,845-626-7971,tlbmanagement@aol.com,http://www.skatetime209.com,5164 Route 209,,Accord,NY,12404,NY192
566,Skate Waco North,254-799-8899,sk8country@aol.com,http://www.skatewaco.com,500 North Loop 340,,Waco,TX,76705,TX350
567,Skate Waco Inc.,254-772-0042,ur1edge@aol.com,http://www.skatewaco.com,401 Towne Oaks Drive,,Waco,TX,76710,TX161
568,Skate West,515-225-6411,the7muses@aol.com,http://www.skatewestskadium.com,2019 West Grand,,West Des Moines,IA,50265,IA011
569,Skate Whirl,940-767-1552,skatewhirl@hotmail.com,http://www.skatewhirl.net,4208 Jacksboro Highway,,Wichita Falls,TX,76302,TX092
570,Skate World,405-622-2992,,,Route 2 Box 332,,Sulphur,OK,73086,OK064
571,Skate World,912-576-4758,skateworld@kgldcable.com,http://www.skateworldga.com,1020 Boone Avenue East,,Kingsland,GA,31548,GA093
572,Skate World,913-262-0711,ssasek9533@aol.com,http://www.skateworldkc.com,9800 West 62nd Terrace,,Merriam,KS,66203,KS036
573,Skate World,352-787-1178,skateworldfun@aol.com,,424 North Palmetto Street,,Leesburg,FL,34748-5275,FL034
574,Skate World,440-282-2567,skate@lorainskateworld.com,http://www.lorainskateworld.com,4952 West Erie Avenue,,Lorain,OH,44053,OH021
575,Skate World Inc,606-248-0219,penny@skateworldky.com,http://www.skateworldky.com,2113 Cumberland Avenue,,Middlesboro,KY,40965,KY066
576,Skate World of Troy,248-689-4100,skateworldoftroy@sbcglobal.net,,2825 East Maple,,Troy,MI,48083,MI051
577,Skate World USA,580-762-5348,skateworldusa@cableone.net,http://www.skateworld-usa.com,1001 Knight,,Ponca City,OK,74601,OK078
578,Skate World West,,not@onfile.com,,701 S 29th St W,,Billings,MT,59102,MT028
579,Skate Zone,337-988-1400,yourskatezone@aol.com,http://www.yourskatezone.com,4518 West Congress,,Lafayette,LA,70506,LA011
580,Skate Zone,410-721-7155,sk8zoneman@comcast.net,http://www.sk8zone.com,1082 Route 3 South,,Gambrills,MD,21054,MD015
581,Skate Zone,618-542-5634,,http://www.duquoinskatezone.com,1645 South Washington Street,,Du Quoin,IL,62832,IL147
582,Skate Zone,770-961-1400,,http://www.sk8zone.biz,6766 Mt Zion Boulevard,,Morrow,GA,30260-3102,GA008
583,Skate Zone 2000 LLC,334-567-4434,,,88 Red Eagle Drive,,Wetumpka,AL,36092,AL091
584,Skate Zone 71,614-846-5627,thopkins@usa-skating.com,http://www.wowfamilyfun.com,4900 Evanswood Drive,,Columbus,OH,43229,OH074
585,Skate Zone Inc,662-329-1881,tdaletaylor@msn.com,,910 Lehmberg Road,,Columbus,MS,39702,MS005
586,Skate Zone of Tupelo,601-841-1260,tdaletaylor@msn.com,,103 Parkgate,,Tupelo,MS,38801,MS031
587,Skate-A-Round,864-855-1475,trotterbo@aol.com,http://www.skatearoundusa.com,719 Ross Avenue,,Easley,SC,29640,SC027
588,Skate-A-Round USA #2,706-353-7299,trotterbo@aol.com,,3030 Cherokee Road,,Athens,GA,30605,GA035
589,Skate-A-Way,574-936-4685,jfearnow@aol.com,,500 West Madison,,Plymouth,IN,46563,IN022
590,Skate-A-Way Inc,804-674-5070,,,3330 Speeks Drive,,Midlothian,VA,23112,VA084
591,Skate-Away USA of Greenwood,864-223-3114,skateawayinfo@yahoo.com,http://www.skateawayusa.com,123 Dixie Drive,,Greenwood,SC,29646,SC007
592,Skate-A-While Incorporated,315-337-8744,,,220 Ridge Street,,Rome,NY,13440,NY057
593,Skatecenter Murfreesboro,615-895-1403,skatewest@aol.com,http://www.skateandplay.com,849 West College,,Murfreesboro,TN,37129-2773,TN002
594,SkateDaze,402-895-1400,scott@skatedaze.com,http://www.skatedaze.com,3616 South 132nd Street,,Omaha,NE,68144-3653,NE028
595,SKATEHOUSE,918-456-1100,,http://www.skatehouse.net,1508 North Grand,,Tahlequah,OK,74464,OK004
596,Skate-Inn,360-659-3900,dianne1254@aol.com,http://www.marysvilleskateinn.com,7313 44th Avenue Northeast,,Marysville,WA,98270-3762,WA010
597,Skate-Inn Inc,860-564-2623,,,992 Norwich Road,,Plainfield,CT,6374,CT043
598,Skatelan,740-574-8000,,,7900 Ohio River Road,,Wheelersburg,OH,45694,OH157
599,Skateland,918-836-3344,,,1150 South Sheridan,,Tulsa,OK,74112,OK003
600,Skateland,978-372-3050,marc@skateland.org,http://www.skateland.com,19 Railroad Avenue,,Haverhill,MA,1835,MA018
601,Skateland,410-825-3013,skateland8855@yahoo.com,http://www.skatelandorchardtowson.com,8855 Orchard Tree Lane,,Towson,MD,21286,MD052
602,Skateland,410-282-0223,,,1113  North Point Road,,Dundulk,MD,21222,MD053
603,Skateland,870-541-0747,,,3214 Old Warren Road,,Pine Bluff,AR,71603,AR001
604,Skateland,501-525-1308,,,2156 Higdon Ferry Road,,Hot Springs,AR,71913,AR025
605,Skateland,870-763-9550,,,301 North Lockard Street,,Blytheville,AR,72315,AR074
606,Skateland,317-291-6795,shart@skatelandindy.com,http://www.skatelandindy.com,3902 North Glen Arm Road,,Indianapolis,IN,46254,IN039
607,Skateland,309-647-6958,cantonskateland@comcast.net,http://www.myspace.com/cantonskateland,1040 West Hickory Street,,Canton,IL,61520,IL150
608,Skateland,217-359-3335,sk8il@aol.com,http://www.sk8il.com,208 West Curtis Road,,Savoy,IL,61874,IL054
609,Skateland,360-491-0662,cheri@reachonetravel.com,,2610 South Bay Road,,Olympia,WA,98506,WA011
610,Skateland 17,912-264-9466,skateland17@aol.com,,3811 Darien Highway,,Brunswick,GA,31525,GA040
611,Skateland Arena,810-686-6110,,http://www.skatelandarena.com,8460 North Dort Highway,,Mt. Morris,MI,48458,MI018
612,Skateland East,210-653-5333,,,8910 Fourwinds,,San Antonio,TX,78239,TX065
613,Skateland Family Fun Ctr,620-662-8332,sbrown13@cox.net,,3101 North Lorraine,,Hutchinson,KS,67502-2704,KS048
614,Skateland Fun Center,803-736-0606,rockallman@aol.com,,800 Bookman Road,,Elgin,SC,29045,SC055
615,Skateland Fun Center,509-575-6446,conniejo@truevine.net,,2506 Old Town Road,,Union Gap,WA,98903-1607,WA006
616,Skateland Funzone,734-671-0222,crookard@hotmail.com,http://www.skatelandfunzone.com,23911 Allen Road,,Woodhaven,MI,48183,MI097
617,Skateland Inc,661-831-5567,dunnmeyers@aol.com,http://www.skatelandbakersfield.com,415 Ming Avenue,,Bakersfield,CA,93307,CA023
618,Skateland of Ashland,804-798-3076,skateland@verizon.net,http://www.ashlandskateland.com,516 North Washington Highway,,Ashland,VA,23005,VA082
619,Skateland of Augusta,706-267-0137,kathyga@aol.com,http://www.skatelandofaugusta.com,2451 Windsor Spring Rd,,Augusta,GA,30906,GA120
620,Skateland of Brandon,813-685-3764,sk8land@aol.com,http://www.skatelandofbrandon.com,750 West Robertson Street,,Brandon,FL,33509-2178,FL086
621,Skateland of Franklinville,716-676-2655,,http://www.skateland.biz,70 South Main Street,,Franklinville,NY,14737,NY182
622,Skateland of Huntington Inc.,304-525-1933,skateland@suddenlink.net,,4430 Altizer Avenue,,Huntington,WV,25705,WV003
623,Skateland of Lockport,716-433-5605,skatelandlkpt@choiceonemail.com,http://www.niagarafallsfamilyfun.com,1109 Lincoln Avenue,,Lockport,NY,14094,NY085
624,Skateland of Mobile,251-343-3747,bruce@skatelandmobile.com,http://www.skatelandmobile.com,1610 Shelton Beach Rd Ext,,Mobile,AL,36618,AL100
625,Skateland Putty Hill,410-661-7778,,,8025 Belair Road,,Baltimore,MD,21236,MD050
626,Skateland Raleigh,901-388-5152,hockeelady@aol.com,,4350 Stage Road,,Memphis,TN,38128,TN016
627,Skateland Roller Rink,712-246-1277,,,604 S Fremont Street; Hwy 59,,Shenandoah,IA,51601,IA053
628,Skateland Rollersport,618-847-5283,elliepark1@gmail.com,http://www.skatelandrollersport.com,1700 West Main,,Fairfield,IL,62837,IL103
629,Skateland Skate Center,701-235-0555,sk8land@cableone.net,,3302 Interstate Boulevard,,Fargo,ND,58103,ND006
630,Skateland South,217-546-4543,sk8landsouth@aol.com,http://www.skatelandsouth.com,1500 Recreation Drive,,Springfield,IL,62707,IL038
631,Skateland USA,864-246-0882,,,7514 White Horse Road,,Greenville,SC,29617,SC013
632,Skateland USA,,,,202 Highway 29 Bypass,,Anderson,SC,29621,SC005
633,Skateland USA,864-224-8175,,,4142 Clemson Boulevard,,Anderson,SC,29621,SC029
634,Skateland USA,803-669-7655,rockallman@aol.com,,125 North Beltline Drive,,Florence,SC,29501,SC036
635,Skateland USA Clemmons,910-766-6699,,,2512 Neudorf Drive,,Clemmons,NC,27419,NC099
636,Skateland USA Kannapolis,704-938-3013,,http://www.fryes4fun.com,311 Brookdale Street,,Kannapolis,NC,28083,NC065
637,Skateland USA North,336-621-5632,skatenorth@mac.com,http://www.skatelandusa.com,3801 N Church,,Greensboro,NC,27419,NC072
638,Skateland USA of Carolina,,,http://www.skatelandusa.net,2030 Highway 64-70,,Hickory,NC,28601,NC020
639,Skateland USA/West,336-855-1669,skatenorth@aol.com,,200 Stagecoach Trail,,Greensboro,NC,27409,NC037
640,Skateland West,734-326-2801,fun@skatelandwest.com,http://www.skatelandwest.com,37550 Cherry Hill,,Westland,MI,48185,MI084
641,Skateland West,210-673-2568,sk8west@aol.com,,2327 SW Loop 410,,San Antonio,TX,78227,TX006
642,Skateland-Rockford,815-874-6500,,http://www.skatelandrocks.com,4843 Stenstrom Road,,Rockford,IL,61109,IL155
643,Skate-N-Fun Zone,703-361-7465,sk8nfunzone@aol.com,http://www.skatenfunzone.com,7878 Sudley Road,,Manassas,VA,20109-2804,VA055
644,Skate-O-Rama,502-957-5897,rama@yahoo.com,,4650 North Preston Highway,,Shepherdsville,KY,40165,KY010
645,Skateport,,,,3820 South Glenstone,,Springfield,MO,65804-4418,MO003
646,Skateport Plaza,636-227-2800,,,408 Weidman Road,,Ballwin,MO,63011,MO001
647,Skaters Choice Family Skating Center,828-697-8754,rafoster55@bellsouth.net,http://www.skaterschoice.net,1705 Spartanburg Highway,,Hendersonville,NC,28792,NC082
648,Skaters Edge,920-733-9043,skatersede@aol.com,,5714 Intgrity Way,,Grand Chute,WI,54913,WI089
649,Skaterz,636-583-9400,,http://www.skaterzrink.com,181 Audrey Lane,,Union,MO,63084,MO123
650,Skates 280,205-991-3611,,,7043 Meadowlark Drive,,Birmingham,AL,35242,AL081
651,Skates Alive,270-926-7655,jackcarter@rollerskating.com,http://www.skatesalive.com,606 Salem Drive,,Owensboro,KY,42303,KY067
652,Skates 'N Stuff,828-248-1308,michael@just-cruising.net,,206 Wood Drive,,Forest City,NC,28043,NC103
